name,slug,powerstats.intelligence,powerstats.strength,powerstats.speed,powerstats.durability,powerstats.power,powerstats.combat,appearance.height,appearance.weight,appearance.eyeColor,appearance.hairColor,appearance.gender,appearance.race,work.occupation,biography.fullName,biography.alterEgos,biography.firstAppearance,biography.aliases
Flash,263-flash,63,10,100,50,68,32,"[""5'11"",""180 cm""]","[""179 lb"",""81 kg""]",Blue,Brown / White,Male,Human,"Research Scientist, part-time Director of Garrick Laboratories",Jay Garrick,No alter egos found.,Flash Comics #1 (January 1940),"[""Jay Garrick"",""Siegfreid the Speedster""]"
Flash II,265-flash-ii,88,48,100,60,100,60,"[""6'0"",""183 cm""]","[""195 lb"",""88 kg""]",Blue,Blond,Male,Black Racer,Forensic Scientist,Barry Allen,Black Racer,"Showcase #4 (October, 1956)","[""The Scarlet Speedster"",""the Fastest Man Alive"",""the Monarch of Motion"",""the Sultan of Speed""]"
Flash III,266-flash-iii,63,10,100,60,100,32,"[""6'0"",""183 cm""]","[""190 lb"",""86 kg""]",-,-,Male,Human,"Adventurer, Mechanic for the KCPD",Wally West,Speed Demon,"Flash #110 (January, 1960)","[""The Fastest Man Alive"",""The Scarlet Speedster; formerly"",""Kid Flash I""]"
Flash IV,267-flash-iv,63,10,100,32,100,48,"[""5'2"",""157 cm""]","[""115 lb"",""52 kg""]",Yellow,Auburn,Male,Human,Police trainee,Bartholomew Allen II,"Impulse, Kid Flash II",(as Impulse) Flash v.2 #91 (June 1994)* (as Kid Flash) Teen Titans v.3 #4 (December 2003),"[""Impulse"",""Kid Flash II""]"
Forge,268-forge,63,10,12,28,25,48,"[""6'"",""183 cm""]","[""180 lb"",""81 kg""]",Brown,Black,-,,"Inventor working for the U.S. government, former soldier",,No alter egos found.,Uncanny X-Men #184,"[""The Maker"",""Cheyenne""]"
Franklin Richards,269-franklin-richards,63,80,50,60,100,50,"[""4'8"",""142 cm""]","[""100 lb"",""45 kg""]",Blue,Blond,Male,Mutant,Student,Franklin  Richards,No alter egos found.,Fantastic Four Annual #6,"[""Franklin Benjamin"",""Tattletale"",""Psi-Lord"",""Ego-Spawn"",""Avatar""]"
Franklin Storm,270-franklin-storm,38,10,1,1,0,10,"[""6'2'"",""188 cm""]","[""205 lb"",""92 kg""]",Blue,Grey,-,,Surgeon,Dr. Franklin Storm,No alter egos found.,FANTASTIC FOUR #31,"[""Franklin Storm was erroneously believed to be the first Invincible Man""]"
Frenzy,271-frenzy,63,53,35,100,38,52,"[""6'11"",""211 cm""]","[""230 lb"",""104 kg""]",Brown,Black,Female,,Mercenary,Joanna Cargill,No alter egos found.,X-Factor Vol 1 #4,"[""-""]"
Galactus,273-galactus,100,100,83,100,100,50,"[""28'9"",""876 cm""]","[""36400 lb"",""16 tons""]",Black,Black,Male,Cosmic Entity,"Planet Devourer, Third Force of the Universe - balance between Eternity and Death, Nullifying Abraxas' Influence on the Multiverse, Third Face of the Living Tribunal - representing Equity",Galan,No alter egos found.,Fantastic Four #48 (March 1966),"[""Maker"",""Devourer of Worlds"",""Eater-of-Worlds"",""Ravager of Worlds""]"
Gambit,274-gambit,63,10,23,28,55,84,"[""6'1"",""185 cm""]","[""179 lb"",""81 kg""]",Red,Brown,Male,Mutant,"Jean Grey School for Higher Learning, Salem Center, Westchester County, New York; formerly Utopia, San Francisco Bay, California; Xavier Institute, Salem Center, Westchester County, New York; New Orleans; Paris; Cairo; Illinois",Remy Etienne LeBeau,No alter egos found.,"(as Gambit) Uncanny X-Men #266 (1990), (as Death) X-Men #184 (2006)","[""Death"",""Le Diable Blanc"",""formerly Robert Lord"",""Cajun""]"
Gamora,275-gamora,75,85,42,85,53,100,"[""6'0"",""183 cm""]","[""170 lb"",""77 kg""]",Yellow,Black,Female,Zen-Whoberian,"Assassin, mercenary, adventurer",Gamora Zen Whoberi Ben Titan,No alter egos found.,"Strange Tales #180 (June, 1975)","[""The Deadliest Woman In The Universe"",""The Most Dangerous Woman in the Galaxy""]"
Gary Bell,277-gary-bell,63,5,8,10,54,10,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Alpha,-,Gary Bell,No alter egos found.,-,"[""-""]"
General Zod,278-general-zod,94,100,96,100,100,95,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Black,Black,Male,Kryptonian,-,Dru-Zod,No alter egos found.,Action Comics #845,"[""Dru-Zod (possible first name)""]"
Ghost Rider,280-ghost-rider,50,55,25,100,100,60,"[""6'2"",""188 cm""]","[""220 lb"",""99 kg""]",Red,No Hair,Male,Demon,Former stunt motorcyclist,Johnny Blaze,No alter egos found.,"Marvel Spotlight #5 (August, 1972)","[""-""]"
Giganta,284-giganta,81,89,23,85,32,42,"[""205"",""62.5 meters""]","[""1400 lb"",""630 kg""]",Green,Red,Female,,"Criminal, former Scientist, Professor at Ivy University",Doris Zuel,No alter egos found.,Wonder Woman (Volume 1) #9 (1944),"[""-""]"
Gladiator,285-gladiator,50,100,100,100,77,70,"[""6'6"",""198 cm""]","[""595 lb"",""268 kg""]",Blue,Blue,Male,Strontian,Majestor of the Shi'ar Empire; Former Praetor of the Imperial Guard; possibly former Herald of Galactus,Kallark,No alter egos found.,"X-Men Vol 1 #107 October, 1977","[""Majestor"",""Praetor"",""Captain Universe""]"
Goblin Queen,286-goblin-queen,75,10,23,28,65,56,"[""5'6"",""168 cm""]","[""110 lb"",""50 kg""]",Green,Red,Female,,-,Madelyne Jennifer Pryor,No alter egos found.,Uncanny X-Men #168,"[""Anodyne"",""Maddie"",""Lyne"",""Red"",""Madelyne Pryor-Summers""]"
Godzilla,287-godzilla,44,100,54,100,100,20,"[""354'4"",""108.0 meters""]","[""200000000 lb"",""90,000 tons""]",-,-,-,Kaiju,-,Gojira,No alter egos found.,Godzilla (1954),"[""Legendary Godzilla"",""King of the Monsters"",""Gigantis"",""Monster Zero-One"",""God of Destruction"",""Alpha Predator""]"
Gog,288-gog,50,34,47,72,39,56,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,-,,No alter egos found.,Incredible Hulk #257 (1981),"[""Nephut-Sha"",""Hassan Kareem""]"
Goku,289-goku,56,100,75,90,100,100,"[""5'9"",""175 cm""]","[""137 lb"",""62 kg""]",-,-,Male,Saiyan,-,Kakarot,No alter egos found.,Dragon Ball #1,"[""Ultimate Defender"",""Sayain Monkey"",""Super Sayain"",""Z-Fighter"",""Son-Goku"",""Lower-Class Sayain"",""Goku Son""]"
Gorilla Grodd,294-gorilla-grodd,81,53,33,70,100,65,"[""6'6"",""198 cm""]","[""600 lb"",""270 kg""]",Yellow,Black,Male,Gorilla,-,Grodd,No alter egos found.,"Flash #106 (May, 1959)","[""William Dawson"",""King Grodd"",""Gorilla Grodd"",""Grodd-Son""]"
Gravity,296-gravity,50,32,33,40,69,30,"[""5'10"",""178 cm""]","[""175 lb"",""79 kg""]",Blue,Brown,Male,Human,Student,Greg Willis,No alter egos found.,"Gravity #1 (August, 2005)","[""Protector of the Universe""]"
Greedo,297-greedo,38,10,13,15,31,40,"[""5'7"",""170 cm""]","[""- lb"",""0 kg""]",Purple,-,Male,Rodian,Bounty Hunter,Greedo,No alter egos found.,-,"[""-""]"
Green Arrow,298-green-arrow,81,12,35,28,39,90,"[""6'2"",""188 cm""]","[""195 lb"",""88 kg""]",Green,Blond,Male,Human,Professional Crime-fighter; Multi-Billionaire,Oliver Queen,No alter egos found.,More Fun Comics #73 (November 1941),"[""The Emerald Archer"",""Battling Bowman""]"
Green Goblin,299-green-goblin,100,48,38,60,48,50,"[""5'11"",""180 cm""]","[""185 lb"",""83 kg""]",Blue,Auburn,Male,Human,"Professional criminal, owner and president of Osborn Industries",Norman Osborn,No alter egos found.,"Amazing Spider-Man #14 (July, 1964)","[""Normie"",""Green Goblin"",""Goblin Lord"",""Overlord"",""the Goblin"",""\""Gobby\"""",""Scrier"",""Commander Osborn"",""Director Osborn"",""Iron Patriot""]"
Green Goblin II,300-green-goblin-ii,75,55,37,50,44,26,"[""5'10"",""178 cm""]","[""170 lb"",""77 kg""]",Blue,Auburn,Male,,-,Harold Osborn,No alter egos found.,Amzing Spide-Man #31,"[""-""]"
Groot,303-groot,75,85,33,70,100,64,"[""23'0"",""701 cm""]","[""8200 lb"",""4 tons""]",Yellow,-,Male,Flora Colossus,-,Groot,No alter egos found.,"Tales to Astonish #13 (November, 1960)","[""The Monster from Planet X; His Divine Majesty King Groot the 23rd"",""Monarch of Planet X"",""custodian of the branch worlds"",""ruler of all the shades"",""Flora colossus Information-silk""]"
Guy Gardner,305-guy-gardner,38,90,53,64,100,64,"[""6'2"",""188 cm""]","[""210 lb"",""95 kg""]",Blue,Red,Male,Human-Vuldarian,Former High School gym teacher; former bar owner; currently Honor guard of the Green Lantern Corps,Guy Gardner,No alter egos found.,Green Lantern Vol 2 #59,"[""Green Lantern"",""Red Lantern"",""Warrior""]"
Hal Jordan,306-hal-jordan,69,90,75,80,100,70,"[""6'2"",""188 cm""]","[""200 lb"",""90 kg""]",Brown,Brown,Male,Human,"Adventurer, Air Force Test Pilot",Hal Jordan,No alter egos found.,Showcase #22,"[""Parallax"",""Spectre"",""Green Lantern""]"
Han Solo,307-han-solo,50,10,17,20,43,60,"[""6'0"",""183 cm""]","[""176 lb"",""79 kg""]",Brown,Brown,Male,Human,-,Han Solo,No alter egos found.,Star Wars: Episode IV - A New Hope (1977),"[""-""]"
Hancock,308-hancock,63,90,67,100,100,50,"[""6'2"",""188 cm""]","[""- lb"",""0 kg""]",Brown,Black,Male,Human,-,John Hancock,No alter egos found.,-,"[""-""]"
Harley Quinn,309-harley-quinn,88,12,33,65,55,80,"[""5'7"",""170 cm""]","[""140 lb"",""63 kg""]",Blue,Blond,Female,Human,Psychiatrist,Harley Quinn,No alter egos found.,"Batman: Harley Quinn (October, 1999)","[""Harleen Quinzel"",""Harl"",""Cupid of Crime"",""Jane Wisakedjak"",""Elise Archer"",""Pumpkin Pooh""]"
Harry Potter,310-harry-potter,75,7,21,10,100,50,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Green,Black,Male,Human,Head of the Department of Magical Law Enforcement[,Harry James Potter,No alter egos found.,Harry Potter and the Philosopher's Stone,"[""Triwizard Champion"",""Seeker"",""Quidditch Captain"",""Leader of Dumbledore's Army"",""Master of Death""]"
Havok,311-havok,63,10,25,60,71,45,"[""6'"",""183 cm""]","[""175 lb"",""79 kg""]",Blue,Blond,Male,Mutant,"Currently Adventurer, formerly Graduate student in geophysics",Alexander Summers,No alter egos found.,X-MEN #58,"[""Mutant X"",""Goblin Prince""]"
Hawk,312-hawk,38,38,35,95,43,42,"[""6'1"",""185 cm""]","[""197 lb"",""89 kg""]",Red,Brown,Male,,-,Henry Hall,No alter egos found.,"Showcase #75 (June, 1968)","[""Monarch"",""Extant""]"
Hawkeye,313-hawkeye,56,12,21,10,29,80,"[""6'3"",""191 cm""]","[""230 lb"",""104 kg""]",Blue,Blond,Male,Human,Adventurer,Clint Barton,"Goliath, Ronin","Tales of Suspense #57 (September, 1964)","[""Ronin"",""Goliath"",""Golden Archer"",""the Marksman"",""Father Time"",""Longbow""]"
Hawkeye II,314-hawkeye-ii,50,6,8,10,24,50,"[""5'5"",""165 cm""]","[""126 lb"",""57 kg""]",Blue,Black,Female,Human,Student; Adventurer; Fugitive,Katherine Elizabeth Bishop,No alter egos found.,"Young Avengers #1 (April, 2005)","[""Kate Bishop""]"
Hawkgirl,315-hawkgirl,50,28,53,99,96,72,"[""5'9"",""175 cm""]","[""135 lb"",""61 kg""]",Green,Red,Female,,"Adventurer, Film School Student, Temp Curator of the Stonechat Museum",Kendra Saunders,No alter egos found.,JSA Secret Files #1 (August 1999),"[""Chay-Ara; Sheila Carr; Lady Celia Penbrook"",""Kate Manser; Shiera Sanders""]"
Heat Wave,320-heat-wave,38,10,17,45,27,30,"[""5'11"",""180 cm""]","[""179 lb"",""81 kg""]",Blue,No Hair,Male,Human,Professional Criminal,Mick Rory,No alter egos found.,"Flash #140 (November, 1963)","[""Rory Calhoun""]"
Hela,321-hela,63,100,46,100,100,45,"[""7'0"",""213 cm""]","[""500 lb"",""225 kg""]",Green,Black,Female,Asgardian,"Asgardian Goddess of Death, former Ruler of Hel and Niffleheim",,No alter egos found.,Journey into Mystery #102,"[""Goddess of Death""]"
Hellboy,322-hellboy,63,53,21,95,73,75,"[""8'6"",""259 cm""]","[""350 lb"",""158 kg""]",Gold,Black,Male,Demon,-,Anung Un Rama,No alter egos found.,"Dime Press #4 (May 1, 1993)","[""World Destroyer"",""The Great Beast""]"
Hellcat,323-hellcat,63,11,33,45,46,70,"[""5'8"",""173 cm""]","[""135 lb"",""61 kg""]",Blue,Red,Female,Human,"Housemaker, model, adventurer, supernatural investigator",Patricia Walker,No alter egos found.,"Avengers #144 (February, 1976)","[""Patsy Walker"",""Patricia Hellstrom"",""The Cat""]"
Hercules,325-hercules,63,100,46,85,89,100,"[""6'5"",""196 cm""]","[""325 lb"",""146 kg""]",Blue,Brown,Male,Demi-God,"Adventurer, Olympian God of Strength and Labor, later Olympian God of Heroes",Heracles,No alter egos found.,-,"[""Spider-Herc"",""The Lion of Olympus"",""The Defender of Olympus"",""The Scion of Olympus"",""Prince of Power"",""Alcaeus"",""Herakles"",""Herc"",""Harry Cleese"",""Victor Tegler"",""Agent 74""]"
Hit-Girl,327-hit-girl,56,7,29,20,27,65,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,Human,-,Mindy McCready,No alter egos found.,-,"[""Hit Girl"",""Hitgirl""]"
Hope Summers,330-hope-summers,63,10,12,32,93,75,"[""5'6"",""168 cm""]","[""106 lb"",""48 kg""]",Green,Red,Female,,-,Hope Summers,No alter egos found.,X-Men Vol 2 #205 (2008),"[""Mutant Messiah"",""Messiah Child"",""Hub"",""Throat Slicer"",""Little Girl"",""Little Momma""]"
Hulk,332-hulk,88,100,63,100,98,85,"[""8'0"",""244 cm""]","[""1400 lb"",""630 kg""]",Green,Green,Male,Human / Radiation,"Nuclear physicist, Agent of S.H.I.E.L.D.",Bruce Banner,No alter egos found.,"Incredible Hulk #1 (May, 1962)","[""Annihilator"",""Captain Universe"",""Joe Fixit"",""Mr. Fixit"",""Mechano"",""Professor"",""Jade Jaws"",""Golly Green Giant""]"
Human Torch,333-human-torch,63,11,63,70,87,42,"[""5'10"",""178 cm""]","[""170 lb"",""77 kg""]",Blue,Blond,Male,Human / Radiation,Adventurer,Johnny Storm,No alter egos found.,Fantastic Four #1 (1961),"[""Matchstick Johnny"",""Doug Brown""]"
Huntress,334-huntress,69,10,23,28,34,95,"[""5'11"",""180 cm""]","[""130 lb"",""59 kg""]",Blue,Black,Female,,Vigilante; High school English teacher,Helena Rosa Bertinelli,Batgirl III,Huntress #1 (April 1989),"[""Batgirl"",""Sicilian"",""Mafia Princess""]"
Husk,335-husk,63,63,35,78,48,64,"[""5'7"",""170 cm""]","[""128 lb"",""58 kg""]",Blue,Blond,Female,Mutant,"Adventurer; formerly student, activist",Paige Elisabeth Guthrie,No alter egos found.,"Rom Annual #3 (November, 1984)","[""Hayseed""]"
Hybrid,336-hybrid,63,63,58,75,100,80,"[""5'9"",""175 cm""]","[""172 lb"",""77 kg""]",Brown,Black,Male,Symbiote,-,Scott Washington,No alter egos found.,Venom Along Came A Spider #2 (as Hybrid),"[""Guardsman Number Six"",""Terror of Brooklyn"",""Riot ,Phage "",""Lasher"",""Agony""]"
Hydro-Man,337-hydro-man,38,13,25,80,66,50,"[""6'2"",""188 cm""]","[""265 lb"",""119 kg""]",Brown,Brown,Male,,Professional Criminal; former crewman of cargo ship,Morris Bench,No alter egos found.,"Amazing Spider-Man #212 (January, 1981)","[""Morrie""]"
Hyperion,338-hyperion,88,100,100,95,87,80,"[""6'0"",""183 cm""]","[""460 lb"",""207 kg""]",Blue,Red,Male,Eternal,"Adventurer; (Formerly) Cartoonist, government agent",Mark Milton,No alter egos found.,Avengers #85,"[""Mark Milton"",""Zhib-Ran"",""Mr. Kant"",""Marcus Milton""]"
Iceman,339-iceman,63,32,53,100,100,64,"[""5'8"",""173 cm""]","[""145 lb"",""65 kg""]",Brown,Brown,Male,Mutant,"Adventurer, formerly teacher, accountant, student",Bobby Drake,No alter egos found.,X-Men #1,"[""Bobby Drake"",""Mister Friese"",""Drake Roberts"",""Rampage"",""Frozen One"",""Iceface""]"
Impulse,340-impulse,50,10,100,60,74,60,"[""5'7"",""170 cm""]","[""145 lb"",""65 kg""]",Yellow,Auburn,Male,Human,"Adventurer, Student",Bartholomew Allen II,"Flash IV, Kid Flash II","Flash Vol 2 #92 (July, 1994)","[""Flash IV"",""Kid Flash II""]"
Indiana Jones,341-indiana-jones,69,10,17,30,19,30,"[""6'0"",""183 cm""]","[""176 lb"",""79 kg""]",-,-,Male,Human,Archaeologist,Indiana Jones,No alter egos found.,Raiders of the Lost Ark (1981),"[""Indy""]"
Indigo,342-indigo,75,63,50,50,100,50,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,Purple,Female,Alien,Leader of the Indigo Tribe,Iroque,No alter egos found.,"Green Lantern Vol 4 #25 (January, 2008)","[""Indigo-1""]"
Ink,343-ink,38,28,17,40,73,50,"[""5'11"",""180 cm""]","[""180 lb"",""81 kg""]",Blue,No Hair,Male,Mutant,-,Eric Gitter,No alter egos found.,"Young X-Men #1 (May, 2008)","[""-""]"
Invisible Woman,344-invisible-woman,88,10,27,85,93,56,"[""5'6"",""168 cm""]","[""120 lb"",""54 kg""]",blue,Blond,Female,Human / Radiation,"Member of the Fantastic Four, financial manager for Fantastic Four Inc, occasional model and actress",Susan Storm Richards,No alter egos found.,FANTASTIC FOUR #1,"[""Invisible Girl""]"
Iron Fist,345-iron-fist,75,55,33,50,95,100,"[""5'11"",""180 cm""]","[""175 lb"",""79 kg""]",Blue,Blond,Male,Human,"Adventurer; formerly co-owner of Rand-Meachum, Inc., bodyguard, private investigator, research assistant, warrior",Danny Rand,No alter egos found.,Marvel Premiere #15 (May 1974),"[""Daredevil"",""Daniel Thomas Rand"",""the Living Weapon"",""Young Dragon"",""Danny Rand""]"
Iron Man,346-iron-man,100,85,58,85,100,64,"[""6'6"",""198 cm""]","[""425 lb"",""191 kg""]",Blue,Black,Male,Human,"Inventor, Industrialist; former United States Secretary of Defense",Tony Stark,No alter egos found.,"Tales of Suspence #39 (March, 1963)","[""Iron Knight"",""Hogan Potts"",""Spare Parts Man"",""Cobalt Man II"",""Crimson Dynamo"",""Ironman""]"
Iron Monger,347-iron-monger,88,63,25,90,57,56,"[""-"",""0 cm""]","[""4230 lb"",""2 tons""]",Blue,No Hair,Male,,CEO Stane International,Obadiah Stane,No alter egos found.,-,"[""-""]"
Isis,348-isis,75,48,75,46,50,56,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,,"Adventurer, formerly First Lady of Kahndaq, former slave",Adrianna Tomaz,No alter egos found.,(as Adrianna) 52 Week Three; (as Isis) 52 Week Twelve,"[""-""]"
Jack of Hearts,350-jack-of-hearts,63,55,100,30,77,30,"[""5'1"",""155 cm""]","[""175 lb"",""79 kg""]",Blue / White,Brown,Male,Human,Adventurer,Jonathan Hart,No alter egos found.,"Deadly Hands of Kung Fu #22 (March, 1976)","[""-""]"
Jack-Jack,351-jack-jack,6,34,67,80,100,6,"[""2'4"",""71 cm""]","[""30 lb"",""14 kg""]",Blue,Brown,Male,Human,-,Jack-Jack Parr,No alter egos found.,"The Incredibles (Movie, 2004)","[""-""]"
James Bond,352-james-bond,88,13,17,35,25,90,"[""6'0"",""183 cm""]","[""- lb"",""0 kg""]",blue,Blond,Male,Human,00 Agent,James Bond,No alter egos found.,"Casino Royale, 1953 novel","[""007"",""Commander Bond""]"
James T. Kirk,353-james-t.-kirk,69,11,17,30,30,75,"[""5'10"",""178 cm""]","[""170 lb"",""77 kg""]",Hazel,Brown,Male,Human,Captain,James T. Kirk,No alter egos found.,Star Trek S01E01: The Man Trap,"[""Jim"",""Captain Kirk""]"
Jar Jar Binks,354-jar-jar-binks,10,6,33,10,21,15,"[""6'4"",""193 cm""]","[""- lb"",""0 kg""]",Yellow,-,Male,Gungan,-,Jar Jar Binks,No alter egos found.,-,"[""-""]"
Jason Bourne,355-jason-bourne,88,12,29,30,26,100,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Human,-,Jason Bourne,No alter egos found.,-,"[""-""]"
Jean Grey,356-jean-grey,94,80,21,20,92,70,"[""5'6"",""168 cm""]","[""115 lb"",""52 kg""]",Green,Red,Female,Mutant,Adventurer,Jean Grey,"Phoenix, White Phoenix of The Crown","X-Men #1 (September, 1963)","[""Redd Dayspring"",""Marvel Girl""]"
Jean-Luc Picard,357-jean-luc-picard,75,10,17,30,26,65,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Human,Commanding officer USS Enterprise (NCC-1701-E),Jean-Luc Picard,No alter egos found.,Star Trek: The Next Generation (1987),"[""Locutus""]"
Jennifer Kale,358-jennifer-kale,75,10,35,42,74,72,"[""5'6"",""168 cm""]","[""122 lb"",""55 kg""]",Blue,Blond,Female,,"Sorceress, student",Jennifer Kale,No alter egos found.,(Adventures into) Fear#11 (1972),"[""Wendy the Good Little Witch""]"
Jessica Cruz,360-jessica-cruz,56,90,46,50,100,55,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Green,Brown,Female,Human,-,Jessica Cruz,No alter egos found.,"Green Lantern Vol 5 #20 (July, 2013)","[""Green Lantern"",""Power Ring""]"
Jessica Jones,361-jessica-jones,56,44,50,70,18,55,"[""5'7"",""170 cm""]","[""124 lb"",""56 kg""]",Brown,Brown,Female,Human,"Special Consultant to ""The Pulse"", a Daily Bugle supplement; formerly private investigator, adventurer, short-time vigilante",Jessica Campbell Jones Cage,Power Woman,"Amazing Spider-Man #4 (September, 1963)","[""Knightress"",""Madeline"",""Jewel"",""Power Woman""]"
Jim Powell,364-jim-powell,38,38,23,80,23,20,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,Police Sketch Artist,Jim Powell,No alter egos found.,No Ordinary Family S01E01 (2010),"[""-""]"
JJ Powell,365-jj-powell,88,10,8,10,14,10,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,Student,JJ Powell,No alter egos found.,No Ordinary Family S01E01 (2010),"[""-""]"
John Constantine,367-john-constantine,63,10,8,40,54,65,"[""6'0"",""183 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Male,Human,-,John Constantine,No alter egos found.,"Swamp Thing Vol 2 #37 (June, 1985)","[""Hellblazer""]"
John Wraith,369-john-wraith,75,12,35,28,87,80,"[""6'0"",""183 cm""]","[""195 lb"",""88 kg""]",Brown,Black,Male,,"Former Spy, Government Operative, Mercenary, Soldier",John Wraith,No alter egos found.,"Wolverine Vol 2 #60 (September, 1992)","[""Wraith-Man"",""Kestrel"",""Expediter"",""Guardian"",""Vindicator""]"
Joker,370-joker,100,10,12,60,43,70,"[""6'5"",""196 cm""]","[""192 lb"",""86 kg""]",Green,Green,Male,Human,-,Jack Napier,No alter egos found.,Batman #1 (Spring 1940),"[""Red Hood I"",""Clown Prince of Crime"",""Harlequin of Hate"",""Jack Napier"",""Joe Kerr"",""Mr. J""]"
Jolt,371-jolt,63,12,27,32,31,42,"[""5'5"",""165 cm""]","[""109 lb"",""49 kg""]",Blue,Black,Female,,Adventurer,Helen Takahama,No alter egos found.,Thunderbolts #1 (1997),"[""Holly Tsuruta"",""Hallie Shimosato""]"
Jubilee,372-jubilee,56,8,22,20,66,90,"[""5'5"",""165 cm""]","[""115 lb"",""52 kg""]",Red,Black,Female,Mutant,"Student, Adventurer",Jubilation Lee,No alter egos found.,"Uncanny X-Men #244 (May, 1989)","[""Jubes""]"
Judge Dredd,373-judge-dredd,75,18,38,50,52,95,"[""6'2"",""188 cm""]","[""- lb"",""0 kg""]",-,-,Male,Human,Mega-City Judge,Joseph Dredd,No alter egos found.,2000 AD no. 2 (5 March 1977),"[""The Dead Man"",""Joe""]"
Juggernaut,374-juggernaut,44,100,42,100,85,70,"[""9'5"",""287 cm""]","[""1900 lb"",""855 kg""]",Blue,Red,Male,Human,"Adventurer formerly Professional criminal, mercenary, soldier",Cain Marko,No alter egos found.,"X-Men #12 (July, 1965)","[""Kuurth"",""Captain Universe""]"
Junkpile,375-junkpile,50,38,17,90,81,30,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Mutant,Mercenary; Former member of S.H.I.E.L.D.,,No alter egos found.,"X-Men 2099 #1 (October, 1993)","[""-""]"
Justice,376-justice,50,10,33,70,55,30,"[""5'10"",""178 cm""]","[""180 lb"",""81 kg""]",Hazel,Brown,Male,Human,Adventurer,Vance Astrovik,No alter egos found.,"Giant-Size Defenders #5 (July, 1975)","[""Marvel Boy"",""Manglin' John Mahoney"",""Astounding Astrovik"",""Superhuman Penitentiary Prisoner 344678"",""\""Super Tights\""""]"
Kang,379-kang,100,48,58,70,100,70,"[""6'3"",""191 cm""]","[""230 lb"",""104 kg""]",Brown,Brown,Male,,-,Nathaniel Richards,Iron Lad,(As Rama-Tut) Fantastic Four #19 (1963); (as Kang) Avengers #8 (1964),"[""Blue Man"",""Victor Timely"",""Blue Totem"",""Scarlet Centurion"",""Rama-Tut"",""King of Kings"",""Master of Men"",""Lord of the Seven Suns""]"
Kathryn Janeway,380-kathryn-janeway,75,8,21,25,21,50,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,Human,Fleet Commander,Kathryn Janeway,No alter egos found.,-,"[""-""]"
Katniss Everdeen,381-katniss-everdeen,56,8,21,25,24,55,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,Human,-,Katniss Everdeen,No alter egos found.,-,"[""-""]"
Kevin 11,382-kevin-11,25,7,12,14,100,40,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,Black,Male,Human,-,Kevin Ethan Levin,No alter egos found.,Ben 10 S01,"[""Kevin 11,000"",""Curtis"",""Osmosian"",""Kev"",""Kevin Ethan"",""Levin"",""Ultimate Kevin"",""Doofus"",""An Empty Shell"",""Kevin E. Levin""]"
Kick-Ass,383-kick-ass,38,10,23,35,22,56,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Male,Human,Student,Dave Lizewski,No alter egos found.,Kick Ass #1,"[""Kickass""]"
Kid Flash,384-kid-flash,25,4,92,42,20,30,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Green,Red,Male,Human,-,Wallace Rudolph West,No alter egos found.,"Flash #110 (January, 1960)","[""Kid Lantern""]"
Killer Croc,386-killer-croc,19,53,35,90,53,60,"[""8'0"",""244 cm""]","[""790 lb"",""356 kg""]",Red,No Hair,Male,Metahuman,-,Waylon Jones,No alter egos found.,"Batman #357 (March, 1983)","[""-""]"
Killer Frost,387-killer-frost,88,10,13,35,59,30,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Female,Human,Scientist,Caitlin Snow,No alter egos found.,Fury of Firestorm: The Nuclear Men #19,"[""-""]"
Kilowog,388-kilowog,81,90,53,42,100,80,"[""7'8"",""234 cm""]","[""720 lb"",""324 kg""]",Red,No Hair,Male,Bolovaxian,-,,No alter egos found.,"Green Lantern Corps #201 (June, 1986)","[""Kilo Wog"",""Green Lantern 674.1"",""Dark Lantern"",""The Green Lantern drill sergeant"",""\""Poozer\"""",""Lantern""]"
King Kong,389-king-kong,56,100,71,75,47,75,"[""100'0"",""30.5 meters""]","[""20000000 lb"",""9,000 tons""]",Yellow,Black,Male,Animal,-,King Kong,No alter egos found.,King Kong (1933),"[""the 8th Wonder of the World"",""King of Skull Island""]"
